,title
446,ARR - Customer would like access to private preview feature - Private workspaces
447,Job marked finished but output not written.  Still 
448,Job Cluster Notebooks are not visible to users
449,Azure Databricks Vnet Connectivity
450,ARR Customer Starbucks: Issue - Problems initiating Cluster Upsize 
451,Need to share Bronze S# bucket for multiple AWS account
452,follow-up of 00143245
453,"Intermittent error ""Could not find ADLS Gen2 Token"" when running Jobs with credentials passthrough"
454,2205180040008873 | Job Failure
455,Databrick notebook fail intermittently
456,Error when connecting PowerBI with Databricks
457,SR 2205190050002600 - Photon | Spark | There is no space for new record
458,follow-up for 00138037
459,Cluster configuration to set the default table format to Parquet
460,Access Azure Synapse from Azure Databricks with SQLDW spark connector
461,Delta partation is not working
462,driver memory consumption issue
463,CSS-ARR-2205090030000751002-Databricks activity within a timeframe
464,Snowflake connector
465,follow-up to this case 00142921
466,SQL joins gives wrong result
467,[ARR] [Sev B] SR-2205190030001473-streaming is not working for passthrough enabled containers and db's
468,ARR | personalized logs at init script | 2205130010001143
469,[ARR] Connection from Databricks to synapse using jdbc intermittent issue-SSL Unexpected rethrowing
470,ARR 2205230050000756 - Databricks jobs stopped
471,ARR | 2205180050001892 | Unable to access to history of the specific delta table 
472,ARR - Customer getting error on GUI when viewing all purpose cluster
473,[ARR] [Sev B] SR-2205130030001214 Getting the following error while reading file Unable to infer schema for Parquet. It must be specified manually
474,ARR | 2205190030001487 | A user is unable to access to the SQL editor even with permission.
475, runtime 10.4 duplicates columns where 9.1 does not 
476,GAR for 2205230030000890 
477,ARR | 2205230030000498 - Databricks_API_issue
478,CSS-ARR-2205230030000434-databricks job api calls failing with StatusCode: 503 
479,Confirmation of Databricks JDBC Driver
480,Daily workflow suddently requiring more resources
481,Databricks:  When clicking on completed jobs get HTTP ERROR 403
482,On some occasions the count file is having more numbers than the data file
483,databricks対応ブラウザのバージョンについて
484,CSS-ARR-S500-2205180030002005-summary” column has more than 10MB of size data when we query or display in databricks we are getting following issue
485,Databricks streaming job is lagging in processing the data
486,2205190030002256 
487,REST API connectivity Issues from ADB Notebook
488,2205230010000380 
489,2204270030000356 | ARR | Metastore down issue
490,ARR | 2205200040002676 - databricks overwatch proxy configuration issue
491,job execution issues
492,SQL Endpoint Change Owner
493,2205090040004711
